session_id,training_day,date,body_weight,mood,dchest,arms,waist,legs,shoulders,training_duration_minutes,sleep_hours,stress_level,program_phase,exercise,muscle_group,weight,reps,volume
1680,FULLBODY3,2022-09-22,104.2,good,125.5,37.1,88.7,68.7,145.2,53.9,8.4,2,hypertrophy,Barbell Hip Thrust,glutes,1027.5,12,12330.0
531,FULLBODY3,2015-05-22,79.1,good,93.8,28.0,69.4,52.2,109.7,62.0,8.7,2,hypertrophy,Dumbbell Walking Lunge,legs,340.0,7,2380.0
511,FULLBODY1,2015-04-04,78.5,tired,95.8,26.9,66.9,50.8,109.9,63.1,6.0,5,hypertrophy,Barbell Bench Press,chest,445.0,6,2670.0
990,FULLBODY3,2018-04-27,90.2,tired,110.3,32.4,75.8,58.7,128.1,62.3,6.9,5,hypertrophy,Barbell Hip Thrust,glutes,685.0,11,7535.0
890,FULLBODY2,2017-09-04,87.5,tired,105.4,30.4,75.3,57.1,120.8,65.5,6.7,4,hypertrophy,Overhead Press,shoulders,545.0,12,6540.0
1671,FULLBODY3,2022-08-31,104.4,good,126.8,36.9,87.7,67.3,145.1,55.2,9.6,1,hypertrophy,Lying Leg Curl,hamstrings,815.0,9,7335.0
1476,FULLBODY3,2021-06-04,99.9,tired,121.0,34.6,84.5,65.1,139.4,63.5,6.9,3,hypertrophy,Dumbbell Walking Lunge,legs,1095.0,6,6570.0
472,FULLBODY1,2015-01-05,77.2,good,91.7,27.4,65.3,49.9,107.5,56.5,8.3,1,hypertrophy,Lat Pulldown,back,417.5,6,2505.0
1995,FULLBODY3,2024-09-27,110.6,tired,132.3,39.8,94.3,71.7,154.7,51.5,5.3,4,hypertrophy,Dumbbell Walking Lunge,legs,792.5,11,8717.5
1676,FULLBODY2,2022-09-14,104.3,okay,125.7,36.5,89.2,67.2,145.4,61.2,7.2,2,hypertrophy,Chest-Supported TBar-Row,back,1147.5,7,8032.5
695,FULLBODY2,2016-06-06,84.8,tired,101.5,29.0,72.7,53.4,118.3,62.1,5.5,4,hypertrophy,Crunch,core,437.5,7,3062.5
1764,FULLBODY3,2023-04-06,105.9,good,127.5,37.3,90.3,68.8,146.8,55.4,8.1,2,hypertrophy,Seated Face Pull,shoulders,1357.5,6,8145.0
434,FULLBODY2,2014-10-07,76.4,good,91.5,27.1,63.8,49.3,106.6,61.2,9.1,1,hypertrophy,Deadlift,back,382.5,7,2677.5
1813,FULLBODY1,2023-07-29,107.5,tired,128.8,36.6,92.5,70.1,149.0,58.6,7.0,3,hypertrophy,Lat Pulldown,back,960.0,9,8640.0
905,FULLBODY2,2017-10-09,87.3,okay,103.8,30.0,73.6,55.7,122.4,64.0,7.3,3,deload,Dumbbell Skull Crusher,triceps,587.5,11,6462.5
483,FULLBODY3,2015-01-30,77.6,okay,93.7,27.0,65.1,51.5,107.4,66.1,7.3,2,hypertrophy,Dumbbell Incline Press,chest,312.5,12,3750.0
968,FULLBODY2,2018-03-06,90.1,good,107.9,31.8,75.4,59.8,126.4,63.9,8.4,2,hypertrophy,Deadlift,back,850.0,6,5100.0
577,FULLBODY1,2015-09-06,80.0,okay,95.3,28.0,67.1,52.4,113.1,60.5,7.4,3,deload,Romanian Deadlift,hamstrings,372.5,8,2980.0
1649,FULLBODY2,2022-07-13,103.4,okay,124.7,36.4,89.8,68.0,143.9,67.3,7.8,2,deload,Crunch,core,670.0,11,7370.0
1456,FULLBODY1,2021-04-19,99.3,good,117.4,35.3,84.3,64.8,136.4,63.6,9.1,1,hypertrophy,Lat Pulldown,back,880.0,8,7040.0
1668,FULLBODY3,2022-08-25,104.1,tired,126.9,35.7,88.3,67.9,145.7,62.9,6.3,4,hypertrophy,Dumbbell Incline Press,chest,990.0,12,11880.0
1173,FULLBODY3,2019-06-26,95.0,okay,112.7,32.9,80.3,63.9,133.4,59.8,7.5,3,hypertrophy,Reverse Grip Lat Pulldown,back,787.5,7,5512.5
1486,FULLBODY1,2021-06-27,100.2,good,118.3,35.9,85.6,64.9,141.1,65.3,9.0,1,hypertrophy,Romanian Deadlift,hamstrings,1165.0,6,6990.0
1934,FULLBODY2,2024-05-06,110.1,tired,131.1,38.7,95.8,70.1,153.1,61.4,6.4,4,hypertrophy,Deadlift,back,942.5,10,9425.0
257,FULLBODY2,2013-08-20,72.6,tired,87.0,25.0,60.7,45.9,103.5,62.3,6.7,3,deload,Overhead Press,shoulders,172.5,12,2070.0
242,FULLBODY2,2013-07-17,71.9,good,85.8,24.5,60.8,46.2,101.2,66.7,9.1,1,hypertrophy,Crunch,core,145.0,8,1160.0
599,FULLBODY2,2015-10-26,80.4,tired,93.7,28.4,67.4,50.7,113.5,64.4,6.8,5,hypertrophy,Crunch,core,267.5,10,2675.0
1217,FULLBODY2,2019-10-07,95.1,tired,116.4,33.4,82.8,62.5,132.9,58.8,6.5,2,deload,Cable Flye,chest,915.0,6,5490.0
873,FULLBODY3,2017-07-28,87.3,okay,104.2,31.6,73.7,56.5,122.3,58.1,7.8,2,deload,Dumbbell Walking Lunge,legs,647.5,6,3885.0
71,FULLBODY2,2012-06-12,71.0,okay,84.9,24.9,60.2,47.0,98.3,64.4,7.2,3,hypertrophy,Leg Extension,quads,85.0,10,850.0
1443,FULLBODY3,2021-03-19,99.2,good,120.8,34.9,83.2,64.4,138.5,67.5,8.7,1,hypertrophy,Seated Face Pull,shoulders,750.0,9,6750.0
23,FULLBODY2,2012-02-21,70.8,good,84.7,25.4,59.9,46.9,100.3,60.1,8.5,1,hypertrophy,Leg Extension,quads,40.0,12,480.0
539,FULLBODY2,2015-06-09,79.1,okay,95.1,27.5,66.0,50.9,109.2,65.4,7.8,1,hypertrophy,Dumbbell Skull Crusher,triceps,325.0,12,3900.0
1750,FULLBODY1,2023-03-05,105.3,tired,125.2,37.0,88.1,67.3,147.8,66.4,6.6,3,hypertrophy,Standing Calf Raise,calves,1102.5,9,9922.5
