iter	RMSE
0	2372.225333
1	2156.842729
2	1974.920714
3	1801.611274
4	1638.887299
5	1495.870328
6	1367.520391
7	1253.409565
8	1151.775678
9	1053.146104
10	968.5833123
11	888.0777054
12	818.0530931
13	753.3866031
14	693.8577271
15	637.2768427
16	588.629815
17	544.3200236
18	503.4490812
19	468.343173
20	434.134869
21	406.9589631
22	383.945858
23	359.486106
24	336.8750494
25	317.6738053
26	300.1421774
27	286.0136093
28	274.4051327
29	263.1495483
30	252.5227715
31	244.0194212
32	235.8209601
33	228.6468224
34	221.3561296
35	215.665313
36	210.4286129
37	205.5627689
38	201.3978276
39	197.2351829
40	194.1974807
41	191.8549799
42	188.1820226
43	186.3957346
44	184.0501094
45	182.5370973
46	180.8763142
47	179.3928576
48	178.0656762
49	176.2497727
50	174.4784416
51	172.9759726
52	172.0816896
53	170.7566542
54	169.9692725
55	169.114212
56	167.9167951
57	167.0628311
58	166.3094546
59	165.4505334
60	164.9883807
61	164.0742979
62	163.3563013
63	162.1305978
64	161.0932931
65	160.4830149
66	159.8698156
67	158.5588222
68	157.8867741
69	157.0752457
70	156.1356707
71	155.6812889
72	154.8294644
73	154.0771345
74	153.5080536
75	152.9229997
76	152.5197237
77	151.2951448
78	150.9056855
79	150.4183058
80	149.3734734
81	148.4749156
82	147.9128206
83	147.5749416
84	146.8693967
85	146.2953116
86	145.9391739
87	144.8911471
88	144.5405516
89	144.2983787
90	143.3885316
91	142.8602582
92	142.6103103
93	141.7855051
94	141.1895353
95	140.3187426
96	139.6136722
97	139.3050701
98	138.8523653
99	138.7023132
