iter	Passed	Remaining
0	2	204
1	3	172
2	4	160
3	6	154
4	7	151
5	9	150
6	11	153
7	13	155
8	15	156
9	17	155
10	18	152
11	20	150
12	22	148
13	23	145
14	25	143
15	27	143
16	28	140
17	30	138
18	31	135
19	33	132
20	34	130
21	35	125
22	36	123
23	38	121
24	39	119
25	41	117
26	42	115
27	44	115
28	46	113
29	47	111
30	49	109
31	50	107
32	51	105
33	53	103
34	54	101
35	56	100
36	58	98
37	59	97
38	61	95
39	62	93
40	63	91
41	65	90
42	66	88
43	68	86
44	69	84
45	70	83
46	72	81
47	74	80
48	75	78
49	77	77
50	78	75
51	79	73
52	81	72
53	82	70
54	84	69
55	85	67
56	87	65
57	88	64
58	90	62
59	99	66
60	100	64
61	101	62
62	103	60
63	104	58
64	106	57
65	107	55
66	109	53
67	110	52
68	112	50
69	113	48
70	115	47
71	116	45
72	118	43
73	119	42
74	121	40
75	123	39
76	125	37
77	126	35
78	128	34
79	129	32
80	130	30
81	132	29
82	134	27
83	135	25
84	137	24
85	139	22
86	140	21
87	142	19
88	143	17
89	145	16
90	146	14
91	148	12
92	149	11
93	151	9
94	153	8
95	154	6
96	156	4
97	157	3
98	159	1
99	160	0
